Designator,Manufactorer Part number,Manufatorer name,Footprint,Quantity,Designation,Supplier and ref
"R16,R22,R20,R6",RC1206FR-7W2K4L,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,2k4 1%,
"R26,R14,R17,R12,R27",RCC12065K10FKEA ,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5,5k1 1%,
"R13,R7",RC1206FR-130RL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,0,
"S2,S1",SLW14779443ASD,Same Sky,SLW14779443ASD,2,SLW-1477944-3A-S-D,
"Q2,Q1",DMP3007L,,TO-252-2,2,DMP3007L,
LED2,APHCM2012CGCK-F01,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,
LED1,150080SS75000,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,
R5,RC1206FR-1347K5L,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,47k,
"D4,D3",BZT52B24,,D_SOD-123F,2,BZT52B24,
R4,RC1206FR-0710KL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,10k,
"C4,C3,C7,C2",C1206C105J3RAC,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,1u,
"R29,R28,R19,R15",RC1206FR-7W1KL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,1k0 1%,
R3,RC1206FR-7W1KL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,1k,
R63,RC1206FR-07100RL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,100,
"C9,C8",CC1206JRNPOBBN391,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,390p,
J5,1714955,Phoenix Contact,1714955,1,1714955,
"R23,R25,R8,R21,R11,R10,R24,R9,R18",,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,9,N.C.,
"R2,R75",RC1206FR-7W100KL,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,100k,
J2,61300711121,,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
IC1,XL6009,Soldered ,XL6009_boost,1,~,https://eu.mouser.com/ProductDetail/Soldered/101600?qs=%252BXxaIXUDbq3D9Mcue4Fc3A%3D%3D
IC2,CYPD3177-24LQXQ,,QFN50P400X400X60-25N-D,1,CYPD3177-24LQXQ,
P13,2834085-1,TE Connectivity ,28340851,1,2834085-1,
"C6,C13",KAF31BR71H104KT,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,100n,
J1,USB4145-03-0070-C,GCT (GLOBAL CONNECTOR TECHNOLOGY),USB4145030070C,1,USB4145-03-0070-C,
BTN1,EVQP2402W,Panasonic,EVQP2402W,1,EVQ-P2402W,
DS7,DIOM5226X240N,,DIOM5226X240N,1,B360A-13-F,
J3,24.243.1,Multicomp Pro,242431,1,24.243.1,
Q7,SQ2318AES-T1_BE3,,SOT-23-3,1,Q_NMOS_GSD,
C1,SMDTD04330XA00KT00,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,3u3,
C37,TM8R106K010UBA,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,C,
D2,BZT52C15-E3-08,,D_SOD-123F,1,BZT52B15,
J4,24.243.2,Multicomp Pro,242434,1,24.243.4,
"C10,C5,C12,C11",EEE-FT1V561AP,,CP_Elec_10x10.5,4,560u 35V,
